Designator,Quantity,Value, Manufacturer_Part_Number
C1 C2 ,2,1u,1206B105K250CT
C3 C4 C5 ,3,100n,1206B104K500CT
D1 ,1,Red,RD-LED-0805
D2 ,1,Green,RD-LED-0805
IC1 ,1,WLR089U0-I_RM,WLR089U0-I/RM
J1 ,1,USB_B_Micro,DNP
J2 ,1,Conn_ARM_JTAG_SWD_10,DNP
J3 J5 ,2,Conn_01x10_Female,DNP
J4 ,1,Conn_01x02_Male,DNP
J6 ,1,Conn_01x08_Male,DNP
JP1 JP2 ,2,SolderJumper_3_Bridged12,DNP
JP3 ,1,SolderJumper_2_Open,DNP
R1 ,1,10k,DNP
R2 R3 ,2,1k,DNP
R4 R5 ,2,4.7k,DNP
SW1 ,1,SW_Push,DNP
TP1 TP2 ,2,TestPoint,DNP
U1 ,1,MCP1700-3302E_SOT23,DNP
U2 ,1,CH304E,DNP
