Comment,Designator,Footprint,LCSC
1u,"C1,C2",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C412632	
100n,"C3,C4,C5",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C692631
Red,D1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84260
Green,D2,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84260
WLR089U0-I_RM,IC1,SamacSys_Parts:WLR089U0IRM,
USB_B_Micro,J1,Connector_USB:USB_Micro-AB_Molex_47590-0001,C77238
Conn_ARM_JTAG_SWD_10,J2,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical,C124387
Conn_01x10_Female,"J3,J5",Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,C57369
Conn_01x02_Male,J4,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,C124375
Conn_01x08_Male,J6,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,C124381
SolderJumper_3_Bridged12,"JP1,JP2",Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,
SolderJumper_2_Open,JP3,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
10k,R1,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C17902
1k,"R2,R3",Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C1469
4.7k,"R4,R5",Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C104821
SW_Push,SW1,WLR089u0-DevBoard:Tactile Switch 3x4x2mm,C455280
TestPoint,"TP1,TP2",MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,
MCP1700-3302E_SOT23,U1,Package_TO_SOT_SMD:SOT-23,C39051
CH304E,U2,Package_SO:MSOP-10_3x3mm_P0.5mm,C99652
